place,date,total_doses,first_dose,second_dose,raw_timestamp,pull_time
Meghalaya,2021-10-04,1563793,1074757,489036,2021-10-04T21:39:10Z,2021-10-04T22:06:15.284293Z
Mizoram,2021-10-04,1148044,698228,449816,2021-10-04T21:39:10Z,2021-10-04T22:06:15.284293Z
Nagaland,2021-10-04,1072790,689897,382893,2021-10-04T21:39:10Z,2021-10-04T22:06:15.284293Z
Odisha,2021-10-04,31639233,22726805,8912428,2021-10-04T21:39:10Z,2021-10-04T22:06:15.284293Z
Puducherry,2021-10-04,1037421,707464,329957,2021-10-04T21:39:10Z,2021-10-04T22:06:15.284293Z
Punjab,2021-10-04,19864617,14695162,5169455,2021-10-04T21:39:10Z,2021-10-04T22:06:15.284293Z
Rajasthan,2021-10-04,56794188,40720834,16073354,2021-10-04T21:39:10Z,2021-10-04T22:06:15.284293Z
Sikkim,2021-10-04,918047,518936,399111,2021-10-04T21:39:10Z,2021-10-04T22:06:15.284293Z
Tamil Nadu,2021-10-04,49356081,37188792,12167289,2021-10-04T21:39:10Z,2021-10-04T22:06:15.284293Z
Telangana,2021-10-04,26731403,19373807,7357596,2021-10-04T21:39:10Z,2021-10-04T22:06:15.284293Z
Tripura,2021-10-04,3929054,2497696,1431358,2021-10-04T21:39:10Z,2021-10-04T22:06:15.284293Z
Uttar Pradesh,2021-10-04,110861598,88557008,22304590,2021-10-04T21:39:10Z,2021-10-04T22:06:15.284293Z
Uttarakhand,2021-10-04,10610153,7383683,3226470,2021-10-04T21:39:10Z,2021-10-04T22:06:15.284293Z
West Bengal,2021-10-04,59370010,42247141,17122869,2021-10-04T21:39:10Z,2021-10-04T22:06:15.284293Z
Dadra and Nagar Haveli and Daman and Diu,2021-10-04,941573,648159,293414,2021-10-04T21:39:10Z,2021-10-04T22:06:15.284293Z
India,2021-10-04,911426858,661337238,250089620,2021-10-04T21:39:10Z,2021-10-04T22:06:15.284293Z
Andaman and Nicobar Islands,2021-10-05,449676,290528,159148,2021-10-05T18:34:13Z,2021-10-05T14:41:22.866339Z
Andhra Pradesh,2021-10-05,42812888,28322740,14490148,2021-10-05T18:34:13Z,2021-10-05T14:41:22.866339Z
Arunachal Pradesh,2021-10-05,1202175,759524,442651,2021-10-05T18:34:13Z,2021-10-05T14:41:22.866339Z
Assam,2021-10-05,25096729,19027701,6069028,2021-10-05T18:34:13Z,2021-10-05T14:41:22.866339Z
Bihar,2021-10-05,58641016,45842697,12798319,2021-10-05T18:34:13Z,2021-10-05T14:41:22.866339Z
Chandigarh,2021-10-05,1378145,908484,469661,2021-10-05T18:34:13Z,2021-10-05T14:41:22.866339Z
Chhattisgarh,2021-10-05,18355918,12781555,5574363,2021-10-05T18:34:13Z,2021-10-05T14:41:22.866339Z
Delhi,2021-10-05,18547566,12337805,6209761,2021-10-05T18:34:13Z,2021-10-05T14:41:22.866339Z
Goa,2021-10-05,1979687,1234383,745304,2021-10-05T18:34:13Z,2021-10-05T14:41:22.866339Z
Gujarat,2021-10-05,62540105,42605364,19934741,2021-10-05T18:34:13Z,2021-10-05T14:41:22.866339Z
Haryana,2021-10-05,23617806,16946933,6670873,2021-10-05T18:34:13Z,2021-10-05T14:41:22.866339Z
Himachal Pradesh,2021-10-05,8516408,5671739,2844669,2021-10-05T18:34:13Z,2021-10-05T14:41:22.866339Z
Jammu and Kashmir,2021-10-05,12226470,8438219,3788251,2021-10-05T18:34:13Z,2021-10-05T14:41:22.866339Z
Jharkhand,2021-10-05,18330331,13958391,4371940,2021-10-05T18:34:13Z,2021-10-05T14:41:22.866339Z
Karnataka,2021-10-05,57410157,39602214,17807943,2021-10-05T18:34:13Z,2021-10-05T14:41:22.866339Z
Kerala,2021-10-05,36205573,24824917,11380656,2021-10-05T18:34:13Z,2021-10-05T14:41:22.866339Z
Ladakh,2021-10-05,346636,206089,140547,2021-10-05T18:34:13Z,2021-10-05T14:41:22.866339Z
Lakshadweep,2021-10-05,97551,54916,42635,2021-10-05T18:34:13Z,2021-10-05T14:41:22.866339Z
Madhya Pradesh,2021-10-05,64431990,48772208,15659782,2021-10-05T18:34:13Z,2021-10-05T14:41:22.866339Z
Maharashtra,2021-10-05,84639659,59143150,25496509,2021-10-05T18:34:13Z,2021-10-05T14:41:22.866339Z
Manipur,2021-10-05,1739798,1228110,511688,2021-10-05T18:34:13Z,2021-10-05T14:41:22.866339Z
Meghalaya,2021-10-05,1572669,1075996,496673,2021-10-05T18:34:13Z,2021-10-05T14:41:22.866339Z
Mizoram,2021-10-05,1153383,699113,454270,2021-10-05T18:34:13Z,2021-10-05T14:41:22.866339Z
Nagaland,2021-10-05,1079620,691064,388556,2021-10-05T18:34:13Z,2021-10-05T14:41:22.866339Z
Odisha,2021-10-05,31954468,22921122,9033346,2021-10-05T18:34:13Z,2021-10-05T14:41:22.866339Z
Puducherry,2021-10-05,1040235,708229,332006,2021-10-05T18:34:13Z,2021-10-05T14:41:22.866339Z
Punjab,2021-10-05,20076567,14815706,5260861,2021-10-05T18:34:13Z,2021-10-05T14:41:22.866339Z
Rajasthan,2021-10-05,56994032,40792688,16201344,2021-10-05T18:34:13Z,2021-10-05T14:41:22.866339Z
Sikkim,2021-10-05,919794,519029,400765,2021-10-05T18:34:13Z,2021-10-05T14:41:22.866339Z
Tamil Nadu,2021-10-05,49537250,37277048,12260202,2021-10-05T18:34:13Z,2021-10-05T14:41:22.866339Z
Telangana,2021-10-05,26948505,19519212,7429293,2021-10-05T18:34:13Z,2021-10-05T14:41:22.866339Z
Tripura,2021-10-05,3948762,2498567,1450195,2021-10-05T18:34:13Z,2021-10-05T14:41:22.866339Z
Uttar Pradesh,2021-10-05,111706571,89030983,22675588,2021-10-05T18:34:13Z,2021-10-05T14:41:22.866339Z
Uttarakhand,2021-10-05,10640674,7390335,3250339,2021-10-05T18:34:13Z,2021-10-05T14:41:22.866339Z
West Bengal,2021-10-05,60346913,43040540,17306373,2021-10-05T18:34:13Z,2021-10-05T14:41:22.866339Z
Dadra and Nagar Haveli and Daman and Diu,2021-10-05,948880,649205,299675,2021-10-05T18:34:13Z,2021-10-05T14:41:22.866339Z
India,2021-10-05,917434607,664586504,252848103,2021-10-05T18:34:13Z,2021-10-05T14:41:22.866339Z
Andaman and Nicobar Islands,2021-10-06,452382,290843,161539,2021-10-06T20:22:18Z,2021-10-06T16:25:15.937576Z
Andhra Pradesh,2021-10-06,42941204,28374588,14566616,2021-10-06T20:22:18Z,2021-10-06T16:25:15.937576Z
Arunachal Pradesh,2021-10-06,1208686,760396,448290,2021-10-06T20:22:18Z,2021-10-06T16:25:15.937576Z
Assam,2021-10-06,25213242,19102442,6110800,2021-10-06T20:22:18Z,2021-10-06T16:25:15.937576Z
Bihar,2021-10-06,59214094,46176000,13038094,2021-10-06T20:22:18Z,2021-10-06T16:25:15.937576Z
Chandigarh,2021-10-06,1382714,909730,472984,2021-10-06T20:22:18Z,2021-10-06T16:25:15.937576Z
Chhattisgarh,2021-10-06,18481458,12839371,5642087,2021-10-06T20:22:18Z,2021-10-06T16:25:15.937576Z
Delhi,2021-10-06,18659180,12381420,6277760,2021-10-06T20:22:18Z,2021-10-06T16:25:15.937576Z
Goa,2021-10-06,1988100,1235627,752473,2021-10-06T20:22:18Z,2021-10-06T16:25:15.937576Z
Gujarat,2021-10-06,62877787,42727405,20150382,2021-10-06T20:22:18Z,2021-10-06T16:25:15.937576Z
Haryana,2021-10-06,23697664,16984874,6712790,2021-10-06T20:22:18Z,2021-10-06T16:25:15.937576Z
Himachal Pradesh,2021-10-06,8540155,5673924,2866231,2021-10-06T20:22:18Z,2021-10-06T16:25:15.937576Z
Jammu and Kashmir,2021-10-06,12411199,8573929,3837270,2021-10-06T20:22:18Z,2021-10-06T16:25:15.937576Z
Jharkhand,2021-10-06,18460051,14033872,4426179,2021-10-06T20:22:18Z,2021-10-06T16:25:15.937576Z
Karnataka,2021-10-06,57512756,39644278,17868478,2021-10-06T20:22:18Z,2021-10-06T16:25:15.937576Z
Kerala,2021-10-06,36298406,24853729,11444677,2021-10-06T20:22:18Z,2021-10-06T16:25:15.937576Z
Ladakh,2021-10-06,347528,206399,141129,2021-10-06T20:22:18Z,2021-10-06T16:25:15.937576Z
Lakshadweep,2021-10-06,97845,54929,42916,2021-10-06T20:22:18Z,2021-10-06T16:25:15.937576Z
Madhya Pradesh,2021-10-06,64601559,48818791,15782768,2021-10-06T20:22:18Z,2021-10-06T16:25:15.937576Z
Maharashtra,2021-10-06,85188755,59458078,25730677,2021-10-06T20:22:18Z,2021-10-06T16:25:15.937576Z
Manipur,2021-10-06,1749417,1229107,520310,2021-10-06T20:22:18Z,2021-10-06T16:25:15.937576Z
Meghalaya,2021-10-06,1580172,1077252,502920,2021-10-06T20:22:18Z,2021-10-06T16:25:15.937576Z
Mizoram,2021-10-06,1157447,699627,457820,2021-10-06T20:22:18Z,2021-10-06T16:25:15.937576Z
Nagaland,2021-10-06,1086902,692082,394820,2021-10-06T20:22:18Z,2021-10-06T16:25:15.937576Z
Odisha,2021-10-06,32145998,23026252,9119746,2021-10-06T20:22:18Z,2021-10-06T16:25:15.937576Z
Puducherry,2021-10-06,1044869,709565,335304,2021-10-06T20:22:18Z,2021-10-06T16:25:15.937576Z
Punjab,2021-10-06,20183309,14877944,5305365,2021-10-06T20:22:18Z,2021-10-06T16:25:15.937576Z
Rajasthan,2021-10-06,57598535,41012110,16586425,2021-10-06T20:22:18Z,2021-10-06T16:25:15.937576Z
Sikkim,2021-10-06,924131,519270,404861,2021-10-06T20:22:18Z,2021-10-06T16:25:15.937576Z
Tamil Nadu,2021-10-06,49691006,37352750,12338256,2021-10-06T20:22:18Z,2021-10-06T16:25:15.937576Z
Telangana,2021-10-06,26979702,19541234,7438468,2021-10-06T20:22:18Z,2021-10-06T16:25:15.937576Z
Tripura,2021-10-06,3951524,2498631,1452893,2021-10-06T20:22:18Z,2021-10-06T16:25:15.937576Z
Uttar Pradesh,2021-10-06,112147837,89255562,22892275,2021-10-06T20:22:18Z,2021-10-06T16:25:15.937576Z
Uttarakhand,2021-10-06,10664215,7395407,3268808,2021-10-06T20:22:18Z,2021-10-06T16:25:15.937576Z
West Bengal,2021-10-06,60741341,43351580,17389761,2021-10-06T20:22:18Z,2021-10-06T16:25:15.937576Z
Dadra and Nagar Haveli and Daman and Diu,2021-10-06,953713,650030,303683,2021-10-06T20:22:18Z,2021-10-06T16:25:15.937576Z
India,2021-10-06,922174883,666989028,255185855,2021-10-06T20:22:18Z,2021-10-06T16:25:15.937576Z
Andaman and Nicobar Islands,2021-10-07,454408,291034,163374,2021-10-07T17:39:26Z,2021-10-07T14:09:17.521097Z
Andhra Pradesh,2021-10-07,43102462,28445774,14656688,2021-10-07T17:39:26Z,2021-10-07T14:09:17.521097Z
Arunachal Pradesh,2021-10-07,1215801,761318,454483,2021-10-07T17:39:26Z,2021-10-07T14:09:17.521097Z
Assam,2021-10-07,25388310,19202473,6185837,2021-10-07T17:39:26Z,2021-10-07T14:09:17.521097Z
Bihar,2021-10-07,59449899,46305398,13144501,2021-10-07T17:39:26Z,2021-10-07T14:09:17.521097Z
Chandigarh,2021-10-07,1386132,910626,475506,2021-10-07T17:39:26Z,2021-10-07T14:09:17.521097Z
Chhattisgarh,2021-10-07,18616901,12904028,5712873,2021-10-07T17:39:26Z,2021-10-07T14:09:17.521097Z
Delhi,2021-10-07,18749078,12417255,6331823,2021-10-07T17:39:26Z,2021-10-07T14:09:17.521097Z
Goa,2021-10-07,1995553,1236760,758793,2021-10-07T17:39:26Z,2021-10-07T14:09:17.521097Z
Gujarat,2021-10-07,63328701,42875899,20452802,2021-10-07T17:39:26Z,2021-10-07T14:09:17.521097Z
Haryana,2021-10-07,23752744,17012382,6740362,2021-10-07T17:39:26Z,2021-10-07T14:09:17.521097Z
Himachal Pradesh,2021-10-07,8562546,5675960,2886586,2021-10-07T17:39:26Z,2021-10-07T14:09:17.521097Z
Jammu and Kashmir,2021-10-07,12555120,8680694,3874426,2021-10-07T17:39:26Z,2021-10-07T14:09:17.521097Z
Jharkhand,2021-10-07,18539650,14078691,4460959,2021-10-07T17:39:26Z,2021-10-07T14:09:17.521097Z
Karnataka,2021-10-07,57651860,39690152,17961708,2021-10-07T17:39:26Z,2021-10-07T14:09:17.521097Z
Kerala,2021-10-07,36436446,24891144,11545302,2021-10-07T17:39:26Z,2021-10-07T14:09:17.521097Z
Ladakh,2021-10-07,348620,206597,142023,2021-10-07T17:39:26Z,2021-10-07T14:09:17.521097Z
Lakshadweep,2021-10-07,97993,54943,43050,2021-10-07T17:39:26Z,2021-10-07T14:09:17.521097Z
Madhya Pradesh,2021-10-07,64810424,48870514,15939910,2021-10-07T17:39:26Z,2021-10-07T14:09:17.521097Z
Maharashtra,2021-10-07,85644743,59710429,25934314,2021-10-07T17:39:26Z,2021-10-07T14:09:17.521097Z
Manipur,2021-10-07,1753730,1229442,524288,2021-10-07T17:39:26Z,2021-10-07T14:09:17.521097Z
Meghalaya,2021-10-07,1588097,1078517,509580,2021-10-07T17:39:26Z,2021-10-07T14:09:17.521097Z
Mizoram,2021-10-07,1163485,700429,463056,2021-10-07T17:39:26Z,2021-10-07T14:09:17.521097Z
Nagaland,2021-10-07,1092709,692917,399792,2021-10-07T17:39:26Z,2021-10-07T14:09:17.521097Z
Odisha,2021-10-07,32281313,23090548,9190765,2021-10-07T17:39:26Z,2021-10-07T14:09:17.521097Z
Puducherry,2021-10-07,1048898,710678,338220,2021-10-07T17:39:26Z,2021-10-07T14:09:17.521097Z
Punjab,2021-10-07,20280614,14936897,5343717,2021-10-07T17:39:26Z,2021-10-07T14:09:17.521097Z
Rajasthan,2021-10-07,57700075,41049873,16650202,2021-10-07T17:39:26Z,2021-10-07T14:09:17.521097Z
Sikkim,2021-10-07,929393,519609,409784,2021-10-07T17:39:26Z,2021-10-07T14:09:17.521097Z
Tamil Nadu,2021-10-07,49843265,37425198,12418067,2021-10-07T17:39:26Z,2021-10-07T14:09:17.521097Z
Telangana,2021-10-07,27265178,19723821,7541357,2021-10-07T17:39:26Z,2021-10-07T14:09:17.521097Z
Tripura,2021-10-07,3969884,2499603,1470281,2021-10-07T17:39:26Z,2021-10-07T14:09:17.521097Z
Uttar Pradesh,2021-10-07,112745252,89584817,23160435,2021-10-07T17:39:26Z,2021-10-07T14:09:17.521097Z
Uttarakhand,2021-10-07,10680793,7399341,3281452,2021-10-07T17:39:26Z,2021-10-07T14:09:17.521097Z
West Bengal,2021-10-07,61800407,44227926,17572481,2021-10-07T17:39:26Z,2021-10-07T14:09:17.521097Z
Dadra and Nagar Haveli and Daman and Diu,2021-10-07,958129,650638,307491,2021-10-07T17:39:26Z,2021-10-07T14:09:17.521097Z
India,2021-10-07,927188613,669742325,257446288,2021-10-07T17:39:26Z,2021-10-07T14:09:17.521097Z
