place,Day,first_dose,second_dose,total_doses,pct_one_dose,pct_two_doses,daily_doses,abbrev,text
India,2021-04-18,107371770,16480796,123852566,7.8579,1.2061,1229976,tt,"India<br>2021-04-18:  1,229,976 daily vaccines<br>"
India,2021-04-19,109659181,17469932,127129113,8.0253,1.2785,3276547,tt,"India<br>2021-04-19:  3,276,547 daily vaccines<br>"
India,2021-04-20,111645892,18473418,130119310,8.1707,1.352,2990197,tt,"India<br>2021-04-20:  2,990,197 daily vaccines<br>"
India,2021-04-21,113147596,19183048,132330644,8.2806,1.4039,2211334,tt,"India<br>2021-04-21:  2,211,334 daily vaccines<br>"
India,2021-04-22,115073463,20404957,135478420,8.4215,1.4933,3147776,tt,"India<br>2021-04-22:  3,147,776 daily vaccines<br>"
India,2021-04-23,116936487,21443345,138379832,8.5579,1.5693,2901412,tt,"India<br>2021-04-23:  2,901,412 daily vaccines<br>"
India,2021-04-24,118580324,22336093,140916417,8.6782,1.6346,2536585,tt,"India<br>2021-04-24:  2,536,585 daily vaccines<br>"
India,2021-04-25,119265786,22645437,141911223,8.7284,1.6573,994806,tt,"India<br>2021-04-25:    994,806 daily vaccines<br>"
India,2021-04-26,121361009,23910177,145271186,8.8817,1.7498,3359963,tt,"India<br>2021-04-26:  3,359,963 daily vaccines<br>"
India,2021-04-27,122930008,24897359,147827367,8.9965,1.8221,2556181,tt,"India<br>2021-04-27:  2,556,181 daily vaccines<br>"
India,2021-04-28,124212143,25808505,150020648,9.0903,1.8888,2193281,tt,"India<br>2021-04-28:  2,193,281 daily vaccines<br>"
India,2021-04-29,125486929,26758250,152245179,9.1836,1.9583,2224531,tt,"India<br>2021-04-29:  2,224,531 daily vaccines<br>"
India,2021-04-30,127056746,27932889,154989635,9.2985,2.0442,2744456,tt,"India<br>2021-04-30:  2,744,456 daily vaccines<br>"
India,2021-05-01,128171153,28644878,156816031,9.3801,2.0963,1826396,tt,"India<br>2021-05-01:  1,826,396 daily vaccines<br>"
India,2021-05-02,128374277,28823930,157198207,9.395,2.1095,382176,tt,"India<br>2021-05-02:    382,176 daily vaccines<br>"
India,2021-05-03,129227412,29705509,158932921,9.4574,2.174,1734714,tt,"India<br>2021-05-03:  1,734,714 daily vaccines<br>"
India,2021-05-04,130044455,30449733,160494188,9.5172,2.2284,1561267,tt,"India<br>2021-05-04:  1,561,267 daily vaccines<br>"
India,2021-05-05,130974851,31538488,162513339,9.5853,2.3081,2019151,tt,"India<br>2021-05-05:  2,019,151 daily vaccines<br>"
India,2021-05-06,132087824,32885234,164973058,9.6667,2.4067,2459719,tt,"India<br>2021-05-06:  2,459,719 daily vaccines<br>"
India,2021-05-07,133112446,34234098,167346544,9.7417,2.5054,2373486,tt,"India<br>2021-05-07:  2,373,486 daily vaccines<br>"
India,2021-05-08,133980544,35459119,169439663,9.8052,2.595,2093119,tt,"India<br>2021-05-08:  2,093,119 daily vaccines<br>"
India,2021-05-09,134404867,35771736,170176603,9.8363,2.6179,736940,tt,"India<br>2021-05-09:    736,940 daily vaccines<br>"
India,2021-05-10,135494474,37215592,172710066,9.916,2.7236,2533463,tt,"India<br>2021-05-10:  2,533,463 daily vaccines<br>"
India,2021-05-11,136619734,38616257,175235991,9.9984,2.8261,2525925,tt,"India<br>2021-05-11:  2,525,925 daily vaccines<br>"
India,2021-05-12,137658380,39555876,177214256,10.0744,2.8949,1978265,tt,"India<br>2021-05-12:  1,978,265 daily vaccines<br>"
India,2021-05-13,138719426,40579158,179298584,10.1521,2.9697,2084328,tt,"India<br>2021-05-13:  2,084,328 daily vaccines<br>"
India,2021-05-14,139375695,41081884,180457579,10.2001,3.0065,1158995,tt,"India<br>2021-05-14:  1,158,995 daily vaccines<br>"
India,2021-05-15,119960676,35857301,182220164,8.7792,2.6242,1762585,tt,"India<br>2021-05-15:  1,762,585 daily vaccines<br>"
India,2021-05-16,141147770,41778690,182926460,10.3298,3.0575,706296,tt,"India<br>2021-05-16:    706,296 daily vaccines<br>"
India,2021-05-17,142428227,42024922,184453149,10.4235,3.0756,1526689,tt,"India<br>2021-05-17:  1,526,689 daily vaccines<br>"
India,2021-05-18,143583902,42225400,185809302,10.5081,3.0902,1356153,tt,"India<br>2021-05-18:  1,356,153 daily vaccines<br>"
India,2021-05-19,144623670,42386122,187009792,10.5841,3.102,1200490,tt,"India<br>2021-05-19:  1,200,490 daily vaccines<br>"
India,2021-05-20,149201320,42678183,191879503,10.9192,3.1234,4869711,tt,"India<br>2021-05-20:  4,869,711 daily vaccines<br>"
India,2021-05-21,150501478,42871341,193372819,11.0143,3.1375,1493316,tt,"India<br>2021-05-21:  1,493,316 daily vaccines<br>"
India,2021-05-22,151945271,43058913,195004184,11.12,3.1512,1631365,tt,"India<br>2021-05-22:  1,631,365 daily vaccines<br>"
India,2021-05-23,152930249,43121713,196051962,11.1921,3.1558,1047778,tt,"India<br>2021-05-23:  1,047,778 daily vaccines<br>"
India,2021-05-24,155235374,43303625,198538999,11.3608,3.1691,2487037,tt,"India<br>2021-05-24:  2,487,037 daily vaccines<br>"
India,2021-05-25,157149593,43512863,200662456,11.5008,3.1844,2123457,tt,"India<br>2021-05-25:  2,123,457 daily vaccines<br>"
India,2021-05-26,159025328,43670546,202695874,11.6381,3.196,2033418,tt,"India<br>2021-05-26:  2,033,418 daily vaccines<br>"
India,2021-05-27,161850092,43870568,205720660,11.8448,3.2106,3024786,tt,"India<br>2021-05-27:  3,024,786 daily vaccines<br>"
India,2021-05-28,164779253,44123192,208902445,12.0592,3.2291,3181785,tt,"India<br>2021-05-28:  3,181,785 daily vaccines<br>"
India,2021-05-29,167617477,44449137,212066614,12.2669,3.253,3164169,tt,"India<br>2021-05-29:  3,164,169 daily vaccines<br>"
India,2021-05-30,168613371,44540758,213154129,12.3398,3.2597,1087515,tt,"India<br>2021-05-30:  1,087,515 daily vaccines<br>"
India,2021-05-31,171200166,44846472,216046638,12.5291,3.282,2892509,tt,"India<br>2021-05-31:  2,892,509 daily vaccines<br>"
India,2021-06-01,173411496,45135171,218546667,12.691,3.3032,2500029,tt,"India<br>2021-06-01:  2,500,029 daily vaccines<br>"
India,2021-06-02,175665160,45378533,221043693,12.8559,3.321,2497026,tt,"India<br>2021-06-02:  2,497,026 daily vaccines<br>"
India,2021-06-03,178486097,45623351,224109448,13.0623,3.3389,3065755,tt,"India<br>2021-06-03:  3,065,755 daily vaccines<br>"
India,2021-06-04,181952338,45907979,227860317,13.316,3.3597,3750869,tt,"India<br>2021-06-04:  3,750,869 daily vaccines<br>"
India,2021-06-05,185138502,46183915,231322417,13.5492,3.3799,3462100,tt,"India<br>2021-06-05:  3,462,100 daily vaccines<br>"
India,2021-06-06,186514773,46271709,232786482,13.6499,3.3864,1464065,tt,"India<br>2021-06-06:  1,464,065 daily vaccines<br>"
India,2021-06-07,189595747,46602979,236198726,13.8754,3.4106,3412244,tt,"India<br>2021-06-07:  3,412,244 daily vaccines<br>"
India,2021-06-08,192137133,46921227,239058360,14.0614,3.4339,2859634,tt,"India<br>2021-06-08:  2,859,634 daily vaccines<br>"
India,2021-06-09,195482945,47243748,242726693,14.3062,3.4575,3668333,tt,"India<br>2021-06-09:  3,668,333 daily vaccines<br>"
India,2021-06-10,198511574,47574075,246085649,14.5279,3.4817,3358956,tt,"India<br>2021-06-10:  3,358,956 daily vaccines<br>"
India,2021-06-11,201690149,47910155,249600304,14.7605,3.5063,3514655,tt,"India<br>2021-06-11:  3,514,655 daily vaccines<br>"
India,2021-06-12,204893461,48301587,253195048,14.9949,3.5349,3594744,tt,"India<br>2021-06-12:  3,594,744 daily vaccines<br>"
India,2021-06-13,206369672,48479629,254849301,15.103,3.5479,1654253,tt,"India<br>2021-06-13:  1,654,253 daily vaccines<br>"
India,2021-06-14,210166746,48877326,259044072,15.3809,3.577,4194771,tt,"India<br>2021-06-14:  4,194,771 daily vaccines<br>"
India,2021-06-15,212681921,49290093,261972014,15.5649,3.6072,2927942,tt,"India<br>2021-06-15:  2,927,942 daily vaccines<br>"
India,2021-06-16,215848080,49671171,265519251,15.7966,3.6351,3547237,tt,"India<br>2021-06-16:  3,547,237 daily vaccines<br>"
India,2021-06-17,218873616,50086783,268960399,16.0181,3.6656,3441148,tt,"India<br>2021-06-17:  3,441,148 daily vaccines<br>"
India,2021-06-18,221901281,50487502,272388783,16.2396,3.6949,3428384,tt,"India<br>2021-06-18:  3,428,384 daily vaccines<br>"
India,2021-06-19,225687086,51006486,276693572,16.5167,3.7329,4304789,tt,"India<br>2021-06-19:  4,304,789 daily vaccines<br>"
India,2021-06-20,228741774,51295124,280036898,16.7403,3.754,3343326,tt,"India<br>2021-06-20:  3,343,326 daily vaccines<br>"
India,2021-06-21,236681488,52084713,288766201,17.3213,3.8118,8729303,tt,"India<br>2021-06-21:  8,729,303 daily vaccines<br>"
India,2021-06-22,241894504,52745007,294639511,17.7028,3.8601,5873310,tt,"India<br>2021-06-22:  5,873,310 daily vaccines<br>"
India,2021-06-23,248224925,53401103,301626028,18.1661,3.9081,6986517,tt,"India<br>2021-06-23:  6,986,517 daily vaccines<br>"
India,2021-06-24,253737871,54210873,307948744,18.5696,3.9674,6322716,tt,"India<br>2021-06-24:  6,322,716 daily vaccines<br>"
India,2021-06-25,259834772,55211154,315045926,19.0158,4.0406,7097182,tt,"India<br>2021-06-25:  7,097,182 daily vaccines<br>"
India,2021-06-26,265384559,56375518,321760077,19.4219,4.1258,6714151,tt,"India<br>2021-06-26:  6,714,151 daily vaccines<br>"
India,2021-06-27,266933878,56729419,323663297,19.5353,4.1517,1903220,tt,"India<br>2021-06-27:  1,903,220 daily vaccines<br>"
India,2021-06-28,271131337,57898173,329029510,19.8425,4.2372,5366213,tt,"India<br>2021-06-28:  5,366,213 daily vaccines<br>"
India,2021-06-29,274013600,58840927,332854527,20.0534,4.3062,3825017,tt,"India<br>2021-06-29:  3,825,017 daily vaccines<br>"
India,2021-06-30,276099880,59616139,335716019,20.2061,4.363,2861492,tt,"India<br>2021-06-30:  2,861,492 daily vaccines<br>"
India,2021-07-01,279454091,60622141,340076232,20.4516,4.4366,4360213,tt,"India<br>2021-07-01:  4,360,213 daily vaccines<br>"
India,2021-07-02,282743449,61867842,344611291,20.6923,4.5277,4535059,tt,"India<br>2021-07-02:  4,535,059 daily vaccines<br>"
India,2021-07-03,287137161,64084145,351221306,21.0139,4.6899,6610015,tt,"India<br>2021-07-03:  6,610,015 daily vaccines<br>"
India,2021-07-04,288323682,64568364,352892046,21.1007,4.7254,1670740,tt,"India<br>2021-07-04:  1,670,740 daily vaccines<br>"
India,2021-07-05,291172390,66381222,357553612,21.3092,4.858,4661566,tt,"India<br>2021-07-05:  4,661,566 daily vaccines<br>"
India,2021-07-06,293706832,67616716,361323548,21.4947,4.9485,3769936,tt,"India<br>2021-07-06:  3,769,936 daily vaccines<br>"
India,2021-07-07,295889870,68957679,364847549,21.6544,5.0466,3524001,tt,"India<br>2021-07-07:  3,524,001 daily vaccines<br>"
India,2021-07-08,298678913,70312309,368991222,21.8585,5.1457,4143673,tt,"India<br>2021-07-08:  4,143,673 daily vaccines<br>"
India,2021-07-09,300742742,71453526,372196268,22.0096,5.2293,3205046,tt,"India<br>2021-07-09:  3,205,046 daily vaccines<br>"
India,2021-07-10,303171498,72861088,376032586,22.1873,5.3323,3836318,tt,"India<br>2021-07-10:  3,836,318 daily vaccines<br>"
India,2021-07-11,304018852,73333649,377352501,22.2493,5.3669,1319915,tt,"India<br>2021-07-11:  1,319,915 daily vaccines<br>"
India,2021-07-12,306612781,74854865,381467646,22.4392,5.4782,4115145,tt,"India<br>2021-07-12:  4,115,145 daily vaccines<br>"
India,2021-07-13,311387539,76310396,387697935,22.7886,5.5847,6230289,tt,"India<br>2021-07-13:  6,230,289 daily vaccines<br>"
India,2021-07-14,313529502,77810989,391340491,22.9454,5.6945,3642556,tt,"India<br>2021-07-14:  3,642,556 daily vaccines<br>"
India,2021-07-15,316116189,79227578,395343767,23.1347,5.7982,4003276,tt,"India<br>2021-07-15:  4,003,276 daily vaccines<br>"
India,2021-07-16,318665226,81030653,399695879,23.3212,5.9302,4352112,tt,"India<br>2021-07-16:  4,352,112 daily vaccines<br>"
India,2021-07-17,321893762,83037953,404931715,23.5575,6.0771,5235836,tt,"India<br>2021-07-17:  5,235,836 daily vaccines<br>"
India,2021-07-18,322944436,83537057,406481493,23.6344,6.1136,1549778,tt,"India<br>2021-07-18:  1,549,778 daily vaccines<br>"
India,2021-07-19,326392783,85453618,411846401,23.8867,6.2538,5364908,tt,"India<br>2021-07-19:  5,364,908 daily vaccines<br>"
India,2021-07-20,328716212,86756243,415472455,24.0568,6.3492,3626054,tt,"India<br>2021-07-20:  3,626,054 daily vaccines<br>"
India,2021-07-21,330259212,87591939,417851151,24.1697,6.4103,2378696,tt,"India<br>2021-07-21:  2,378,696 daily vaccines<br>"
India,2021-07-22,333945151,89471879,423417030,24.4395,6.5479,5565879,tt,"India<br>2021-07-22:  5,565,879 daily vaccines<br>"
India,2021-07-23,336819816,91062445,427882261,24.6498,6.6643,4465231,tt,"India<br>2021-07-23:  4,465,231 daily vaccines<br>"
India,2021-07-24,340387695,92763169,433150864,24.911,6.7888,5268603,tt,"India<br>2021-07-24:  5,268,603 daily vaccines<br>"
India,2021-07-25,341802707,93393294,435196001,25.0145,6.8349,2045137,tt,"India<br>2021-07-25:  2,045,137 daily vaccines<br>"
India,2021-07-26,346516149,95396246,441912395,25.3595,6.9815,6716394,tt,"India<br>2021-07-26:  6,716,394 daily vaccines<br>"
India,2021-07-27,349324061,96832598,446156659,25.565,7.0866,4244264,tt,"India<br>2021-07-27:  4,244,264 daily vaccines<br>"
India,2021-07-28,352545271,98160986,450706257,25.8007,7.1838,4549598,tt,"India<br>2021-07-28:  4,549,598 daily vaccines<br>"
India,2021-07-29,356140739,99893015,456033754,26.0638,7.3106,5327497,tt,"India<br>2021-07-29:  5,327,497 daily vaccines<br>"
India,2021-07-30,359820313,101698166,461518479,26.3331,7.4427,5484725,tt,"India<br>2021-07-30:  5,484,725 daily vaccines<br>"
India,2021-07-31,366806160,103492436,470298596,26.8444,7.574,8780117,tt,"India<br>2021-07-31:  8,780,117 daily vaccines<br>"
India,2021-08-01,367994586,104229053,472223639,26.9313,7.6279,1925043,tt,"India<br>2021-08-01:  1,925,043 daily vaccines<br>"
India,2021-08-02,372626926,105917188,478544114,27.2704,7.7514,6320475,tt,"India<br>2021-08-02:  6,320,475 daily vaccines<br>"
India,2021-08-03,378090597,107195973,485286570,27.6702,7.845,6742456,tt,"India<br>2021-08-03:  6,742,456 daily vaccines<br>"
India,2021-08-04,381126275,108216020,489342295,27.8924,7.9197,4055725,tt,"India<br>2021-08-04:  4,055,725 daily vaccines<br>"
India,2021-08-05,385631050,109696545,495327595,28.222,8.028,5985300,tt,"India<br>2021-08-05:  5,985,300 daily vaccines<br>"
India,2021-08-06,390041560,110968049,501009609,28.5448,8.1211,5682014,tt,"India<br>2021-08-06:  5,682,014 daily vaccines<br>"
India,2021-08-07,394378151,112432341,506810492,28.8622,8.2283,5800883,tt,"India<br>2021-08-07:  5,800,883 daily vaccines<br>"
India,2021-08-08,395667593,112997166,508664759,28.9566,8.2696,1854267,tt,"India<br>2021-08-08:  1,854,267 daily vaccines<br>"
India,2021-08-09,400158057,114342211,514500268,29.2852,8.368,5835509,tt,"India<br>2021-08-09:  5,835,509 daily vaccines<br>"
India,2021-08-10,403596088,115484436,519080524,29.5368,8.4516,4580256,tt,"India<br>2021-08-10:  4,580,256 daily vaccines<br>"
India,2021-08-11,406980329,116690690,523671019,29.7845,8.5399,4590495,tt,"India<br>2021-08-11:  4,590,495 daily vaccines<br>"
India,2021-08-12,411629356,117953600,529582956,30.1247,8.6323,5911937,tt,"India<br>2021-08-12:  5,911,937 daily vaccines<br>"
India,2021-08-13,416846115,119343788,536189903,30.5065,8.7341,6606947,tt,"India<br>2021-08-13:  6,606,947 daily vaccines<br>"
India,2021-08-14,422575401,121270889,543846290,30.9258,8.8751,7656387,tt,"India<br>2021-08-14:  7,656,387 daily vaccines<br>"
India,2021-08-15,424072750,121784358,545857108,31.0354,8.9127,2010818,tt,"India<br>2021-08-15:  2,010,818 daily vaccines<br>"
India,2021-08-16,431194809,123535800,554730609,31.5566,9.0409,8873501,tt,"India<br>2021-08-16:  8,873,501 daily vaccines<br>"
India,2021-08-17,435720056,124931974,560652030,31.8878,9.143,5921421,tt,"India<br>2021-08-17:  5,921,421 daily vaccines<br>"
India,2021-08-18,440102169,126386264,566488433,32.2085,9.2495,5836403,tt,"India<br>2021-08-18:  5,836,403 daily vaccines<br>"
India,2021-08-19,444486031,127795457,572281488,32.5293,9.3526,5793055,tt,"India<br>2021-08-19:  5,793,055 daily vaccines<br>"
India,2021-08-20,447303462,128813888,576117350,32.7355,9.4271,3835862,tt,"India<br>2021-08-20:  3,835,862 daily vaccines<br>"
India,2021-08-21,450755650,130733727,581489377,32.9881,9.5676,5372027,tt,"India<br>2021-08-21:  5,372,027 daily vaccines<br>"
India,2021-08-22,451513534,131036061,582549595,33.0436,9.5898,1060218,tt,"India<br>2021-08-22:  1,060,218 daily vaccines<br>"
India,2021-08-23,456151209,132846596,588997805,33.383,9.7223,6448210,tt,"India<br>2021-08-23:  6,448,210 daily vaccines<br>"
India,2021-08-24,460802783,134701810,595504593,33.7234,9.858,6506788,tt,"India<br>2021-08-24:  6,506,788 daily vaccines<br>"
India,2021-08-25,466880859,136965616,603846475,34.1682,10.0237,8341882,tt,"India<br>2021-08-25:  8,341,882 daily vaccines<br>"
India,2021-08-26,472838773,139369769,612208542,34.6043,10.1996,8362067,tt,"India<br>2021-08-26:  8,362,067 daily vaccines<br>"
India,2021-08-27,480876699,142112435,622989134,35.1925,10.4004,10780592,tt,"India<br>2021-08-27: 10,780,592 daily vaccines<br>"
India,2021-08-29,488506288,145875070,634381358,35.7509,10.6757,11392224,tt,"India<br>2021-08-29: 11,392,224 daily vaccines<br>"
India,2021-08-30,493020765,147507879,640528644,36.0813,10.7952,6147286,tt,"India<br>2021-08-30:  6,147,286 daily vaccines<br>"
India,2021-08-31,503331527,150781981,654113508,36.8358,11.0348,13584864,tt,"India<br>2021-08-31: 13,584,864 daily vaccines<br>"
India,2021-09-01,509799626,153237708,663037334,37.3092,11.2146,8923826,tt,"India<br>2021-09-01:  8,923,826 daily vaccines<br>"
India,2021-09-02,515531338,155428630,670959968,37.7287,11.3749,7922634,tt,"India<br>2021-09-02:  7,922,634 daily vaccines<br>"
India,2021-09-03,519866213,157344992,677211205,38.0459,11.5151,6251237,tt,"India<br>2021-09-03:  6,251,237 daily vaccines<br>"
India,2021-09-04,524546930,160122591,684669521,38.3885,11.7184,7458316,tt,"India<br>2021-09-04:  7,458,316 daily vaccines<br>"
India,2021-09-05,526381797,161159965,687541762,38.5228,11.7943,2872241,tt,"India<br>2021-09-05:  2,872,241 daily vaccines<br>"
India,2021-09-06,534715823,164346953,699062776,39.1327,12.0276,11521014,tt,"India<br>2021-09-06: 11,521,014 daily vaccines<br>"
India,2021-09-07,540557826,166985192,707543018,39.5602,12.2207,8480242,tt,"India<br>2021-09-07:  8,480,242 daily vaccines<br>"
India,2021-09-08,546897006,169700422,716597428,40.0241,12.4194,9054410,tt,"India<br>2021-09-08:  9,054,410 daily vaccines<br>"
India,2021-09-09,551843120,171941466,723784586,40.3861,12.5834,7187158,tt,"India<br>2021-09-09:  7,187,158 daily vaccines<br>"
India,2021-09-10,556541427,174048261,730589688,40.73,12.7376,6805102,tt,"India<br>2021-09-10:  6,805,102 daily vaccines<br>"
India,2021-09-11,561101965,177105413,738207378,41.0637,12.9613,7617690,tt,"India<br>2021-09-11:  7,617,690 daily vaccines<br>"
India,2021-09-12,564834748,179002895,743837643,41.3369,13.1002,5630265,tt,"India<br>2021-09-12:  5,630,265 daily vaccines<br>"
India,2021-09-13,570511241,181727083,752238324,41.7523,13.2995,8400681,tt,"India<br>2021-09-13:  8,400,681 daily vaccines<br>"
India,2021-09-14,574657255,184255022,758912277,42.0558,13.4845,6673953,tt,"India<br>2021-09-14:  6,673,953 daily vaccines<br>"
India,2021-09-15,578646751,187070386,765717137,42.3477,13.6906,6804860,tt,"India<br>2021-09-15:  6,804,860 daily vaccines<br>"
India,2021-09-16,582606905,189818839,772425744,42.6375,13.8917,6708607,tt,"India<br>2021-09-16:  6,708,607 daily vaccines<br>"
India,2021-09-17,596091846,199217243,795309089,43.6244,14.5795,22883345,tt,"India<br>2021-09-17: 22,883,345 daily vaccines<br>"
India,2021-09-18,601046450,203325881,804372331,43.987,14.8802,9063242,tt,"India<br>2021-09-18:  9,063,242 daily vaccines<br>"
India,2021-09-19,603666773,204901371,808568144,44.1788,14.9955,4195813,tt,"India<br>2021-09-19:  4,195,813 daily vaccines<br>"
India,2021-09-20,609568160,208945667,818513827,44.6107,15.2915,9945683,tt,"India<br>2021-09-20:  9,945,683 daily vaccines<br>"
India,2021-09-21,614390226,212125528,826515754,44.9636,15.5242,8001927,tt,"India<br>2021-09-21:  8,001,927 daily vaccines<br>"
India,2021-09-22,618513000,215477049,833990049,45.2653,15.7695,7474295,tt,"India<br>2021-09-22:  7,474,295 daily vaccines<br>"
India,2021-09-23,622902393,218615633,841518026,45.5865,15.9992,7527977,tt,"India<br>2021-09-23:  7,527,977 daily vaccines<br>"
India,2021-09-24,627174874,221754286,848929160,45.8992,16.2289,7411134,tt,"India<br>2021-09-24:  7,411,134 daily vaccines<br>"
India,2021-09-25,630831085,225250442,856081527,46.1668,16.4847,7152367,tt,"India<br>2021-09-25:  7,152,367 daily vaccines<br>"
India,2021-09-26,633216286,226942725,860159011,46.3413,16.6086,4077484,tt,"India<br>2021-09-26:  4,077,484 daily vaccines<br>"
India,2021-09-27,639614662,231093974,870708636,46.8096,16.9124,10549625,tt,"India<br>2021-09-27: 10,549,625 daily vaccines<br>"
India,2021-09-28,642863561,233799929,876663490,47.0474,17.1104,5954854,tt,"India<br>2021-09-28:  5,954,854 daily vaccines<br>"
India,2021-09-29,646473741,236996837,883470578,47.3116,17.3444,6807088,tt,"India<br>2021-09-29:  6,807,088 daily vaccines<br>"
India,2021-09-30,650229045,239978962,890208007,47.5864,17.5626,6737429,tt,"India<br>2021-09-30:  6,737,429 daily vaccines<br>"
India,2021-10-01,654331744,243149810,897481554,47.8867,17.7947,7273547,tt,"India<br>2021-10-01:  7,273,547 daily vaccines<br>"
India,2021-10-02,658277760,246897588,905175348,48.1754,18.069,7693794,tt,"India<br>2021-10-02:  7,693,794 daily vaccines<br>"
India,2021-10-03,659815128,248117733,907932861,48.288,18.1583,2757513,tt,"India<br>2021-10-03:  2,757,513 daily vaccines<br>"
India,2021-10-04,663807388,251658438,915465826,48.5801,18.4174,7532965,tt,"India<br>2021-10-04:  7,532,965 daily vaccines<br>"
India,2021-10-05,667246479,254518926,921765405,48.8318,18.6267,6299579,tt,"India<br>2021-10-05:  6,299,579 daily vaccines<br>"
India,2021-10-06,669549280,256819328,926368608,49.0003,18.7951,4603203,tt,"India<br>2021-10-06:  4,603,203 daily vaccines<br>"
