place,Day,variable,value,text
Andaman and Nicobar Islands,2021-04-28,pct_one_dose,23.0212,Andaman and Nicobar Islands<br>2021-04-28: 23.02% with one dose<br>
Andaman and Nicobar Islands,2021-04-29,pct_one_dose,23.2788,Andaman and Nicobar Islands<br>2021-04-29: 23.28% with one dose<br>
Andaman and Nicobar Islands,2021-04-30,pct_one_dose,23.5499,Andaman and Nicobar Islands<br>2021-04-30: 23.55% with one dose<br>
Andaman and Nicobar Islands,2021-05-01,pct_one_dose,23.6902,Andaman and Nicobar Islands<br>2021-05-01: 23.69% with one dose<br>
Andaman and Nicobar Islands,2021-05-02,pct_one_dose,23.7093,Andaman and Nicobar Islands<br>2021-05-02: 23.71% with one dose<br>
Andaman and Nicobar Islands,2021-05-03,pct_one_dose,23.8285,Andaman and Nicobar Islands<br>2021-05-03: 23.83% with one dose<br>
Andaman and Nicobar Islands,2021-05-04,pct_one_dose,23.9141,Andaman and Nicobar Islands<br>2021-05-04: 23.91% with one dose<br>
Andaman and Nicobar Islands,2021-05-05,pct_one_dose,24.0086,Andaman and Nicobar Islands<br>2021-05-05: 24.01% with one dose<br>
Andaman and Nicobar Islands,2021-05-06,pct_one_dose,24.1856,Andaman and Nicobar Islands<br>2021-05-06: 24.19% with one dose<br>
Andaman and Nicobar Islands,2021-05-07,pct_one_dose,24.3582,Andaman and Nicobar Islands<br>2021-05-07: 24.36% with one dose<br>
Andaman and Nicobar Islands,2021-05-08,pct_one_dose,24.4841,Andaman and Nicobar Islands<br>2021-05-08: 24.48% with one dose<br>
Andaman and Nicobar Islands,2021-05-09,pct_one_dose,24.5048,Andaman and Nicobar Islands<br>2021-05-09: 24.5% with one dose<br>
Andaman and Nicobar Islands,2021-05-10,pct_one_dose,24.6421,Andaman and Nicobar Islands<br>2021-05-10: 24.64% with one dose<br>
Andaman and Nicobar Islands,2021-05-11,pct_one_dose,24.7393,Andaman and Nicobar Islands<br>2021-05-11: 24.74% with one dose<br>
Andaman and Nicobar Islands,2021-05-12,pct_one_dose,24.8272,Andaman and Nicobar Islands<br>2021-05-12: 24.83% with one dose<br>
Andaman and Nicobar Islands,2021-05-13,pct_one_dose,24.8937,Andaman and Nicobar Islands<br>2021-05-13: 24.89% with one dose<br>
Andaman and Nicobar Islands,2021-05-14,pct_one_dose,24.896,Andaman and Nicobar Islands<br>2021-05-14: 24.9% with one dose<br>
Andaman and Nicobar Islands,2021-05-15,pct_one_dose,24.9582,Andaman and Nicobar Islands<br>2021-05-15: 24.96% with one dose<br>
Andaman and Nicobar Islands,2021-05-16,pct_one_dose,24.9584,Andaman and Nicobar Islands<br>2021-05-16: 24.96% with one dose<br>
Andaman and Nicobar Islands,2021-05-17,pct_one_dose,25.0665,Andaman and Nicobar Islands<br>2021-05-17: 25.07% with one dose<br>
Andaman and Nicobar Islands,2021-05-18,pct_one_dose,25.1365,Andaman and Nicobar Islands<br>2021-05-18: 25.14% with one dose<br>
Andaman and Nicobar Islands,2021-05-19,pct_one_dose,25.2632,Andaman and Nicobar Islands<br>2021-05-19: 25.26% with one dose<br>
Andaman and Nicobar Islands,2021-05-20,pct_one_dose,25.6992,Andaman and Nicobar Islands<br>2021-05-20: 25.7% with one dose<br>
Andaman and Nicobar Islands,2021-05-21,pct_one_dose,25.8922,Andaman and Nicobar Islands<br>2021-05-21: 25.89% with one dose<br>
Andaman and Nicobar Islands,2021-05-22,pct_one_dose,26.0962,Andaman and Nicobar Islands<br>2021-05-22: 26.1% with one dose<br>
Andaman and Nicobar Islands,2021-05-23,pct_one_dose,26.1932,Andaman and Nicobar Islands<br>2021-05-23: 26.19% with one dose<br>
Andaman and Nicobar Islands,2021-05-24,pct_one_dose,26.3068,Andaman and Nicobar Islands<br>2021-05-24: 26.31% with one dose<br>
Andaman and Nicobar Islands,2021-05-25,pct_one_dose,26.4793,Andaman and Nicobar Islands<br>2021-05-25: 26.48% with one dose<br>
Andaman and Nicobar Islands,2021-05-26,pct_one_dose,26.6831,Andaman and Nicobar Islands<br>2021-05-26: 26.68% with one dose<br>
Andaman and Nicobar Islands,2021-05-27,pct_one_dose,26.837,Andaman and Nicobar Islands<br>2021-05-27: 26.84% with one dose<br>
Andaman and Nicobar Islands,2021-05-28,pct_one_dose,27.028,Andaman and Nicobar Islands<br>2021-05-28: 27.03% with one dose<br>
Andaman and Nicobar Islands,2021-05-29,pct_one_dose,27.2831,Andaman and Nicobar Islands<br>2021-05-29: 27.28% with one dose<br>
Andaman and Nicobar Islands,2021-05-30,pct_one_dose,27.3441,Andaman and Nicobar Islands<br>2021-05-30: 27.34% with one dose<br>
Andaman and Nicobar Islands,2021-05-31,pct_one_dose,27.4771,Andaman and Nicobar Islands<br>2021-05-31: 27.48% with one dose<br>
Andaman and Nicobar Islands,2021-06-01,pct_one_dose,27.6612,Andaman and Nicobar Islands<br>2021-06-01: 27.66% with one dose<br>
Andaman and Nicobar Islands,2021-06-02,pct_one_dose,27.7869,Andaman and Nicobar Islands<br>2021-06-02: 27.79% with one dose<br>
Andaman and Nicobar Islands,2021-06-03,pct_one_dose,27.9589,Andaman and Nicobar Islands<br>2021-06-03: 27.96% with one dose<br>
Andaman and Nicobar Islands,2021-06-04,pct_one_dose,28.0851,Andaman and Nicobar Islands<br>2021-06-04: 28.09% with one dose<br>
Andaman and Nicobar Islands,2021-06-05,pct_one_dose,28.2018,Andaman and Nicobar Islands<br>2021-06-05: 28.2% with one dose<br>
Andaman and Nicobar Islands,2021-06-06,pct_one_dose,28.2038,Andaman and Nicobar Islands<br>2021-06-06: 28.2% with one dose<br>
Andaman and Nicobar Islands,2021-06-07,pct_one_dose,28.3315,Andaman and Nicobar Islands<br>2021-06-07: 28.33% with one dose<br>
Andaman and Nicobar Islands,2021-06-08,pct_one_dose,28.432,Andaman and Nicobar Islands<br>2021-06-08: 28.43% with one dose<br>
Andaman and Nicobar Islands,2021-06-09,pct_one_dose,28.5128,Andaman and Nicobar Islands<br>2021-06-09: 28.51% with one dose<br>
Andaman and Nicobar Islands,2021-06-10,pct_one_dose,28.7363,Andaman and Nicobar Islands<br>2021-06-10: 28.74% with one dose<br>
Andaman and Nicobar Islands,2021-06-11,pct_one_dose,28.9242,Andaman and Nicobar Islands<br>2021-06-11: 28.92% with one dose<br>
Andaman and Nicobar Islands,2021-06-12,pct_one_dose,29.1401,Andaman and Nicobar Islands<br>2021-06-12: 29.14% with one dose<br>
Andaman and Nicobar Islands,2021-06-13,pct_one_dose,29.1406,Andaman and Nicobar Islands<br>2021-06-13: 29.14% with one dose<br>
Andaman and Nicobar Islands,2021-06-14,pct_one_dose,29.3763,Andaman and Nicobar Islands<br>2021-06-14: 29.38% with one dose<br>
Andaman and Nicobar Islands,2021-06-15,pct_one_dose,29.6053,Andaman and Nicobar Islands<br>2021-06-15: 29.61% with one dose<br>
Andaman and Nicobar Islands,2021-06-16,pct_one_dose,29.8471,Andaman and Nicobar Islands<br>2021-06-16: 29.85% with one dose<br>
Andaman and Nicobar Islands,2021-06-17,pct_one_dose,30.0821,Andaman and Nicobar Islands<br>2021-06-17: 30.08% with one dose<br>
Andaman and Nicobar Islands,2021-06-18,pct_one_dose,30.3164,Andaman and Nicobar Islands<br>2021-06-18: 30.32% with one dose<br>
Andaman and Nicobar Islands,2021-06-19,pct_one_dose,30.528,Andaman and Nicobar Islands<br>2021-06-19: 30.53% with one dose<br>
Andaman and Nicobar Islands,2021-06-20,pct_one_dose,30.5285,Andaman and Nicobar Islands<br>2021-06-20: 30.53% with one dose<br>
Andaman and Nicobar Islands,2021-06-21,pct_one_dose,30.7194,Andaman and Nicobar Islands<br>2021-06-21: 30.72% with one dose<br>
Andaman and Nicobar Islands,2021-06-22,pct_one_dose,31.4139,Andaman and Nicobar Islands<br>2021-06-22: 31.41% with one dose<br>
Andaman and Nicobar Islands,2021-06-23,pct_one_dose,32.396,Andaman and Nicobar Islands<br>2021-06-23: 32.4% with one dose<br>
Andaman and Nicobar Islands,2021-06-24,pct_one_dose,33.6264,Andaman and Nicobar Islands<br>2021-06-24: 33.63% with one dose<br>
Andaman and Nicobar Islands,2021-06-25,pct_one_dose,34.8327,Andaman and Nicobar Islands<br>2021-06-25: 34.83% with one dose<br>
Andaman and Nicobar Islands,2021-06-26,pct_one_dose,36.1048,Andaman and Nicobar Islands<br>2021-06-26: 36.1% with one dose<br>
Andaman and Nicobar Islands,2021-06-27,pct_one_dose,36.5287,Andaman and Nicobar Islands<br>2021-06-27: 36.53% with one dose<br>
Andaman and Nicobar Islands,2021-06-28,pct_one_dose,37.4065,Andaman and Nicobar Islands<br>2021-06-28: 37.41% with one dose<br>
Andaman and Nicobar Islands,2021-06-29,pct_one_dose,38.5511,Andaman and Nicobar Islands<br>2021-06-29: 38.55% with one dose<br>
Andaman and Nicobar Islands,2021-06-30,pct_one_dose,39.4131,Andaman and Nicobar Islands<br>2021-06-30: 39.41% with one dose<br>
Andaman and Nicobar Islands,2021-07-01,pct_one_dose,39.6232,Andaman and Nicobar Islands<br>2021-07-01: 39.62% with one dose<br>
Andaman and Nicobar Islands,2021-07-02,pct_one_dose,39.8829,Andaman and Nicobar Islands<br>2021-07-02: 39.88% with one dose<br>
Andaman and Nicobar Islands,2021-07-03,pct_one_dose,40.1335,Andaman and Nicobar Islands<br>2021-07-03: 40.13% with one dose<br>
Andaman and Nicobar Islands,2021-07-04,pct_one_dose,40.1365,Andaman and Nicobar Islands<br>2021-07-04: 40.14% with one dose<br>
Andaman and Nicobar Islands,2021-07-05,pct_one_dose,40.3773,Andaman and Nicobar Islands<br>2021-07-05: 40.38% with one dose<br>
Andaman and Nicobar Islands,2021-07-06,pct_one_dose,40.6552,Andaman and Nicobar Islands<br>2021-07-06: 40.66% with one dose<br>
Andaman and Nicobar Islands,2021-07-07,pct_one_dose,40.9005,Andaman and Nicobar Islands<br>2021-07-07: 40.9% with one dose<br>
Andaman and Nicobar Islands,2021-07-08,pct_one_dose,41.1295,Andaman and Nicobar Islands<br>2021-07-08: 41.13% with one dose<br>
Andaman and Nicobar Islands,2021-07-09,pct_one_dose,41.3297,Andaman and Nicobar Islands<br>2021-07-09: 41.33% with one dose<br>
Andaman and Nicobar Islands,2021-07-10,pct_one_dose,41.8438,Andaman and Nicobar Islands<br>2021-07-10: 41.84% with one dose<br>
Andaman and Nicobar Islands,2021-07-11,pct_one_dose,41.9,Andaman and Nicobar Islands<br>2021-07-11: 41.9% with one dose<br>
Andaman and Nicobar Islands,2021-07-12,pct_one_dose,42.4003,Andaman and Nicobar Islands<br>2021-07-12: 42.4% with one dose<br>
Andaman and Nicobar Islands,2021-07-13,pct_one_dose,43.9267,Andaman and Nicobar Islands<br>2021-07-13: 43.93% with one dose<br>
Andaman and Nicobar Islands,2021-07-14,pct_one_dose,44.5879,Andaman and Nicobar Islands<br>2021-07-14: 44.59% with one dose<br>
Andaman and Nicobar Islands,2021-07-15,pct_one_dose,45.032,Andaman and Nicobar Islands<br>2021-07-15: 45.03% with one dose<br>
Andaman and Nicobar Islands,2021-07-16,pct_one_dose,45.3103,Andaman and Nicobar Islands<br>2021-07-16: 45.31% with one dose<br>
Andaman and Nicobar Islands,2021-07-17,pct_one_dose,45.5096,Andaman and Nicobar Islands<br>2021-07-17: 45.51% with one dose<br>
Andaman and Nicobar Islands,2021-07-18,pct_one_dose,45.5428,Andaman and Nicobar Islands<br>2021-07-18: 45.54% with one dose<br>
Andaman and Nicobar Islands,2021-07-19,pct_one_dose,45.7746,Andaman and Nicobar Islands<br>2021-07-19: 45.77% with one dose<br>
Andaman and Nicobar Islands,2021-07-20,pct_one_dose,46.3872,Andaman and Nicobar Islands<br>2021-07-20: 46.39% with one dose<br>
Andaman and Nicobar Islands,2021-07-21,pct_one_dose,46.3879,Andaman and Nicobar Islands<br>2021-07-21: 46.39% with one dose<br>
Andaman and Nicobar Islands,2021-07-22,pct_one_dose,47.1048,Andaman and Nicobar Islands<br>2021-07-22: 47.1% with one dose<br>
Andaman and Nicobar Islands,2021-07-23,pct_one_dose,47.8975,Andaman and Nicobar Islands<br>2021-07-23: 47.9% with one dose<br>
Andaman and Nicobar Islands,2021-07-24,pct_one_dose,48.5436,Andaman and Nicobar Islands<br>2021-07-24: 48.54% with one dose<br>
Andaman and Nicobar Islands,2021-07-25,pct_one_dose,48.6854,Andaman and Nicobar Islands<br>2021-07-25: 48.69% with one dose<br>
Andaman and Nicobar Islands,2021-07-26,pct_one_dose,49.139,Andaman and Nicobar Islands<br>2021-07-26: 49.14% with one dose<br>
Andaman and Nicobar Islands,2021-07-27,pct_one_dose,49.8718,Andaman and Nicobar Islands<br>2021-07-27: 49.87% with one dose<br>
Andaman and Nicobar Islands,2021-07-28,pct_one_dose,50.6912,Andaman and Nicobar Islands<br>2021-07-28: 50.69% with one dose<br>
Andaman and Nicobar Islands,2021-07-29,pct_one_dose,51.3791,Andaman and Nicobar Islands<br>2021-07-29: 51.38% with one dose<br>
Andaman and Nicobar Islands,2021-07-30,pct_one_dose,51.897,Andaman and Nicobar Islands<br>2021-07-30: 51.9% with one dose<br>
Andaman and Nicobar Islands,2021-07-31,pct_one_dose,52.8202,Andaman and Nicobar Islands<br>2021-07-31: 52.82% with one dose<br>
Andaman and Nicobar Islands,2021-08-01,pct_one_dose,52.8322,Andaman and Nicobar Islands<br>2021-08-01: 52.83% with one dose<br>
Andaman and Nicobar Islands,2021-08-02,pct_one_dose,53.0423,Andaman and Nicobar Islands<br>2021-08-02: 53.04% with one dose<br>
Andaman and Nicobar Islands,2021-08-03,pct_one_dose,53.2919,Andaman and Nicobar Islands<br>2021-08-03: 53.29% with one dose<br>
Andaman and Nicobar Islands,2021-08-04,pct_one_dose,53.5448,Andaman and Nicobar Islands<br>2021-08-04: 53.54% with one dose<br>
Andaman and Nicobar Islands,2021-08-05,pct_one_dose,53.7675,Andaman and Nicobar Islands<br>2021-08-05: 53.77% with one dose<br>
Andaman and Nicobar Islands,2021-08-06,pct_one_dose,53.9884,Andaman and Nicobar Islands<br>2021-08-06: 53.99% with one dose<br>
Andaman and Nicobar Islands,2021-08-07,pct_one_dose,54.1617,Andaman and Nicobar Islands<br>2021-08-07: 54.16% with one dose<br>
Andaman and Nicobar Islands,2021-08-08,pct_one_dose,54.1756,Andaman and Nicobar Islands<br>2021-08-08: 54.18% with one dose<br>
Andaman and Nicobar Islands,2021-08-09,pct_one_dose,54.4214,Andaman and Nicobar Islands<br>2021-08-09: 54.42% with one dose<br>
Andaman and Nicobar Islands,2021-08-10,pct_one_dose,54.6567,Andaman and Nicobar Islands<br>2021-08-10: 54.66% with one dose<br>
Andaman and Nicobar Islands,2021-08-11,pct_one_dose,55.2433,Andaman and Nicobar Islands<br>2021-08-11: 55.24% with one dose<br>
Andaman and Nicobar Islands,2021-08-12,pct_one_dose,56.3635,Andaman and Nicobar Islands<br>2021-08-12: 56.36% with one dose<br>
Andaman and Nicobar Islands,2021-08-13,pct_one_dose,57.5103,Andaman and Nicobar Islands<br>2021-08-13: 57.51% with one dose<br>
Andaman and Nicobar Islands,2021-08-14,pct_one_dose,58.6169,Andaman and Nicobar Islands<br>2021-08-14: 58.62% with one dose<br>
Andaman and Nicobar Islands,2021-08-15,pct_one_dose,58.6723,Andaman and Nicobar Islands<br>2021-08-15: 58.67% with one dose<br>
Andaman and Nicobar Islands,2021-08-16,pct_one_dose,59.0972,Andaman and Nicobar Islands<br>2021-08-16: 59.1% with one dose<br>
Andaman and Nicobar Islands,2021-08-17,pct_one_dose,59.4043,Andaman and Nicobar Islands<br>2021-08-17: 59.4% with one dose<br>
Andaman and Nicobar Islands,2021-08-18,pct_one_dose,59.6111,Andaman and Nicobar Islands<br>2021-08-18: 59.61% with one dose<br>
Andaman and Nicobar Islands,2021-08-19,pct_one_dose,59.6287,Andaman and Nicobar Islands<br>2021-08-19: 59.63% with one dose<br>
Andaman and Nicobar Islands,2021-08-20,pct_one_dose,59.998,Andaman and Nicobar Islands<br>2021-08-20: 60% with one dose<br>
Andaman and Nicobar Islands,2021-08-21,pct_one_dose,60.0741,Andaman and Nicobar Islands<br>2021-08-21: 60.07% with one dose<br>
Andaman and Nicobar Islands,2021-08-22,pct_one_dose,60.1088,Andaman and Nicobar Islands<br>2021-08-22: 60.11% with one dose<br>
Andaman and Nicobar Islands,2021-08-23,pct_one_dose,60.8675,Andaman and Nicobar Islands<br>2021-08-23: 60.87% with one dose<br>
Andaman and Nicobar Islands,2021-08-24,pct_one_dose,61.6179,Andaman and Nicobar Islands<br>2021-08-24: 61.62% with one dose<br>
Andaman and Nicobar Islands,2021-08-25,pct_one_dose,62.3511,Andaman and Nicobar Islands<br>2021-08-25: 62.35% with one dose<br>
Andaman and Nicobar Islands,2021-08-26,pct_one_dose,62.9189,Andaman and Nicobar Islands<br>2021-08-26: 62.92% with one dose<br>
Andaman and Nicobar Islands,2021-08-27,pct_one_dose,63.3801,Andaman and Nicobar Islands<br>2021-08-27: 63.38% with one dose<br>
Andaman and Nicobar Islands,2021-08-29,pct_one_dose,64.0955,Andaman and Nicobar Islands<br>2021-08-29: 64.1% with one dose<br>
Andaman and Nicobar Islands,2021-08-30,pct_one_dose,64.4345,Andaman and Nicobar Islands<br>2021-08-30: 64.43% with one dose<br>
Andaman and Nicobar Islands,2021-08-31,pct_one_dose,64.8602,Andaman and Nicobar Islands<br>2021-08-31: 64.86% with one dose<br>
Andaman and Nicobar Islands,2021-09-01,pct_one_dose,65.2257,Andaman and Nicobar Islands<br>2021-09-01: 65.23% with one dose<br>
Andaman and Nicobar Islands,2021-09-02,pct_one_dose,65.5509,Andaman and Nicobar Islands<br>2021-09-02: 65.55% with one dose<br>
Andaman and Nicobar Islands,2021-09-03,pct_one_dose,65.7768,Andaman and Nicobar Islands<br>2021-09-03: 65.78% with one dose<br>
Andaman and Nicobar Islands,2021-09-04,pct_one_dose,66.0338,Andaman and Nicobar Islands<br>2021-09-04: 66.03% with one dose<br>
Andaman and Nicobar Islands,2021-09-05,pct_one_dose,66.0436,Andaman and Nicobar Islands<br>2021-09-05: 66.04% with one dose<br>
Andaman and Nicobar Islands,2021-09-06,pct_one_dose,66.2612,Andaman and Nicobar Islands<br>2021-09-06: 66.26% with one dose<br>
Andaman and Nicobar Islands,2021-09-07,pct_one_dose,66.5529,Andaman and Nicobar Islands<br>2021-09-07: 66.55% with one dose<br>
Andaman and Nicobar Islands,2021-09-08,pct_one_dose,66.899,Andaman and Nicobar Islands<br>2021-09-08: 66.9% with one dose<br>
Andaman and Nicobar Islands,2021-09-09,pct_one_dose,67.2861,Andaman and Nicobar Islands<br>2021-09-09: 67.29% with one dose<br>
Andaman and Nicobar Islands,2021-09-10,pct_one_dose,67.573,Andaman and Nicobar Islands<br>2021-09-10: 67.57% with one dose<br>
Andaman and Nicobar Islands,2021-09-11,pct_one_dose,67.8889,Andaman and Nicobar Islands<br>2021-09-11: 67.89% with one dose<br>
Andaman and Nicobar Islands,2021-09-12,pct_one_dose,68.3521,Andaman and Nicobar Islands<br>2021-09-12: 68.35% with one dose<br>
Andaman and Nicobar Islands,2021-09-13,pct_one_dose,68.7814,Andaman and Nicobar Islands<br>2021-09-13: 68.78% with one dose<br>
Andaman and Nicobar Islands,2021-09-14,pct_one_dose,69.2756,Andaman and Nicobar Islands<br>2021-09-14: 69.28% with one dose<br>
Andaman and Nicobar Islands,2021-09-15,pct_one_dose,70.2252,Andaman and Nicobar Islands<br>2021-09-15: 70.23% with one dose<br>
Andaman and Nicobar Islands,2021-09-16,pct_one_dose,70.4368,Andaman and Nicobar Islands<br>2021-09-16: 70.44% with one dose<br>
Andaman and Nicobar Islands,2021-09-17,pct_one_dose,71.4428,Andaman and Nicobar Islands<br>2021-09-17: 71.44% with one dose<br>
Andaman and Nicobar Islands,2021-09-18,pct_one_dose,71.832,Andaman and Nicobar Islands<br>2021-09-18: 71.83% with one dose<br>
Andaman and Nicobar Islands,2021-09-19,pct_one_dose,72.1191,Andaman and Nicobar Islands<br>2021-09-19: 72.12% with one dose<br>
Andaman and Nicobar Islands,2021-09-20,pct_one_dose,72.232,Andaman and Nicobar Islands<br>2021-09-20: 72.23% with one dose<br>
Andaman and Nicobar Islands,2021-09-21,pct_one_dose,72.3388,Andaman and Nicobar Islands<br>2021-09-21: 72.34% with one dose<br>
Andaman and Nicobar Islands,2021-09-22,pct_one_dose,72.4262,Andaman and Nicobar Islands<br>2021-09-22: 72.43% with one dose<br>
Andaman and Nicobar Islands,2021-09-23,pct_one_dose,72.5073,Andaman and Nicobar Islands<br>2021-09-23: 72.51% with one dose<br>
Andaman and Nicobar Islands,2021-09-24,pct_one_dose,72.5904,Andaman and Nicobar Islands<br>2021-09-24: 72.59% with one dose<br>
Andaman and Nicobar Islands,2021-09-25,pct_one_dose,72.6685,Andaman and Nicobar Islands<br>2021-09-25: 72.67% with one dose<br>
Andaman and Nicobar Islands,2021-09-26,pct_one_dose,72.6758,Andaman and Nicobar Islands<br>2021-09-26: 72.68% with one dose<br>
Andaman and Nicobar Islands,2021-09-27,pct_one_dose,72.7652,Andaman and Nicobar Islands<br>2021-09-27: 72.77% with one dose<br>
Andaman and Nicobar Islands,2021-09-28,pct_one_dose,72.833,Andaman and Nicobar Islands<br>2021-09-28: 72.83% with one dose<br>
Andaman and Nicobar Islands,2021-09-29,pct_one_dose,72.9128,Andaman and Nicobar Islands<br>2021-09-29: 72.91% with one dose<br>
Andaman and Nicobar Islands,2021-09-30,pct_one_dose,72.9793,Andaman and Nicobar Islands<br>2021-09-30: 72.98% with one dose<br>
